date,mode,equity,benchmark_equity,period_return_after_cost,benchmark_equal_weight_return,drawdown
2026-03-23,long-only,218355690.18311962,119910010.18291232,0.016565856604704426,0.05248164404343254,-0.20958522376609356
2026-03-30,long-only,226161294.617821,119273375.7717208,0.03574719957219972,-0.005309268260592972,-0.1813301090152445
2026-04-06,long-only,237617999.8873135,125528588.67783901,0.05065723243604796,0.05244433525626187,-0.13985855805923575
2025-01-02,long-short,100079293.24550986,97396651.71590368,0.0007929324550985926,-0.02603348284096313,0.0
2025-01-09,long-short,103975291.7040437,97494560.1371416,0.038929116425476376,0.0010052544878392327,0.0
2025-01-16,long-short,98579737.51148133,98885389.47623481,-0.05189265742019098,0.014265712231911039,-0.051892657420191
2025-01-23,long-short,108711992.91501732,100621821.59158957,0.10278233295514633,0.017560047288604556,0.0
2025-01-30,long-short,111125416.3436632,98876261.154126,0.02220015808681304,-0.01734773242874256,0.0
2025-02-06,long-short,107655939.80010283,99434446.73662686,-0.031221269244389324,0.005645294188771711,-0.031221269244389283
2025-02-13,long-short,113394123.18717094,101316608.31889448,0.05330113134233804,0.01892866751954593,0.0
2025-02-20,long-short,125773087.47636771,101829137.62273331,0.10916760005951788,0.005058689906255536,0.0
2025-02-27,long-short,118796718.31669593,102330272.31414698,-0.05546790096078881,0.004921329033251086,-0.055467900960788796
2025-03-06,long-short,122398380.69397272,101421302.38874498,0.03031786086611642,-0.00888270796946106,-0.026831708198537196
2025-03-13,long-short,115829402.25711013,101935520.69727866,-0.05366883450269426,0.00507012132976451,-0.0790605161944995
2025-03-20,long-short,118583924.27534978,101376331.44168055,0.02378085325973911,-0.0054857153990389785,-0.057159789469020894
2025-03-27,long-short,119450443.10983153,93822952.84395647,0.007307220095615163,-0.07450830475227209,-0.050270248535674855
2025-04-03,long-short,132244041.5502827,90965555.89313519,0.10710381734363097,-0.030455201677287002,0.0
2025-04-10,long-short,140656952.019495,94191262.5508692,0.06361655595661375,0.03546074803877985,0.0
2025-04-17,long-short,142072389.83344498,95998453.31671631,0.010063049096597724,0.01918639496812258,0.0
2025-04-24,long-short,150111991.1532962,98509690.97057498,0.056588062812741,0.026159147018479822,0.0
2025-05-01,long-short,153913162.99285558,100416093.09947202,0.02532223981812081,0.019352432335479466,0.0
2025-05-08,long-short,150012452.7376962,103779692.63949458,-0.02534357802354077,0.033496618282993586,-0.025343578023540703
2025-05-15,long-short,159957676.81540415,103132936.15183377,0.06629599007422174,-0.006232013905721202,0.0
2025-05-22,long-short,164394957.88428205,105985032.26803242,0.027740344553757564,0.02765456140994332,0.0
2025-05-29,long-short,159963517.65826926,106920648.59088562,-0.026956059255370125,0.008827815615388656,-0.026956059255370257
2025-06-05,long-short,158208140.5618082,106397748.05656208,-0.01097360899634061,-0.004890547721276404,-0.037633862997360046
2025-06-12,long-short,154700919.91549084,107662503.91318995,-0.022168395594961133,0.01188705475190621,-0.05896797622962913
2025-06-19,long-short,148852451.7307997,108379492.02462417,-0.03780499940068876,0.006659589786359843,-0.09454369132429685
2025-06-26,long-short,148164618.88326773,110622993.45421544,-0.004620903717299415,0.020700423924127083,-0.09872771774690858
2025-07-03,long-short,148957194.91935015,114231486.04132287,0.005349293522678618,0.03261973369578821,-0.09390654776528229
2025-07-10,long-short,160632966.0311077,117306377.87343328,0.07838339811701721,0.02691807608103844,-0.022883863967545937
2025-07-17,long-short,148596603.7075625,121110398.60736454,-0.07493083531318384,0.03242808108895488,-0.09609999223844834
2025-07-24,long-short,174217420.04158363,122589418.66028768,0.1724185862581543,0.012212164024974175,0.0
2025-07-31,long-short,172962780.32023108,127773597.9442597,-0.007201574452503599,0.04228896213577881,-0.0072015744525035785
2025-08-07,long-short,166144483.158321,133869004.52470207,-0.03942060337655518,0.047704742439055786,-0.04633828741887991
2025-08-14,long-short,167751131.71910277,134001380.25794783,0.009670189044139368,0.0009888452798744326,-0.03711619837406288
2025-08-21,long-short,159738932.50810856,133658628.78311244,-0.04776241524504605,-0.0025578204804726883,-0.08310585434004947
2025-08-28,long-short,155723067.56820455,130092498.92196015,-0.025140176391877087,-0.0266808801917237,-0.10615673489462019
2025-09-04,long-short,156341982.5767936,126000076.69468577,0.003974459392908994,-0.03145778781395635,-0.10260419113383357
2025-09-11,long-short,163911434.6071057,127207235.25081664,0.048415991057258335,0.009580617629749365,-0.05915588367694813
2025-09-18,long-short,167327536.99957746,127918247.20265837,0.020841147542025623,0.005589398672487638,-0.039547612634612705
2025-09-25,long-short,161105600.7119664,124935663.57013786,-0.0371841742200913,-0.0233163266206678,-0.07526124153650993
2025-10-02,long-short,168196232.79543737,128151968.28375357,0.04401232515899923,0.02574368776462375,-0.034561338611885484
2025-10-09,long-short,178971727.03583393,129471482.78472471,0.06406501537702024,0.010296482517143029,0.0
2025-10-16,long-short,172618260.3591624,124086399.10086355,-0.03549983442579971,-0.04159281695116658,-0.03549983442579974
2025-10-23,long-short,176009695.29929414,126629652.22015089,0.019647023050025376,0.020495824987394922,-0.01655027744101012
2025-10-30,long-short,180828884.5435567,123591188.39991707,0.02738024877588592,-0.02399488403356992,0.0
2025-11-06,long-short,182999918.30322802,123048163.68832491,0.01200601201047842,-0.004393717049107266,0.0
2025-11-13,long-short,196978091.7189279,123216227.7154571,0.07638349538789548,0.0013658393761802527,0.0
2025-11-20,long-short,209648439.6305502,123477934.79536696,0.06432364026402447,0.0021239660129363644,0.0
2025-11-27,long-short,209184322.01005557,125305843.12041622,-0.0022137900063197145,0.01480352200641006,-0.002213790006319716
2025-12-04,long-short,220876834.9360115,121761412.69950858,0.05589574215506386,-0.028286234166283276,0.0
2025-12-11,long-short,220233202.74102452,119308476.94898364,-0.002913986861381088,-0.020145427817747714,-0.0029139868613810016
2025-12-18,long-short,221222119.88122544,121062310.84149753,0.0044903181168544585,0.0146999939766546,0.0
2025-12-25,long-short,236921579.2671587,120827687.3087191,0.07096695119982711,-0.001938039437274657,0.0
2026-01-02,long-short,254971395.79480213,122921896.26089774,0.07618477212364862,0.017332194291097093,0.0
2026-01-09,long-short,273943173.4650804,128191044.44284444,0.07440747465471194,0.042865822463095594,0.0
2026-01-16,long-short,265705293.72262734,126669181.62589884,-0.030071491244891835,-0.011871834132876085,-0.030071491244891835
2026-01-23,long-short,291103768.49229723,126557308.96075381,0.09558889254266678,-0.0008831877155046782,0.0
2026-01-30,long-short,304930094.7703417,123173635.37696296,0.04749621191664618,-0.0267362952924367,0.0
2026-02-06,long-short,334617645.60092515,126107082.17597386,0.09735854656439427,0.023815541288793825,0.0
2026-02-13,long-short,325829225.3943333,129225520.42250687,-0.026264066830095318,0.02472849417117938,-0.0262640668300953
2026-02-23,long-short,314962395.47502,129205980.68442528,-0.03335130513894745,-0.00015120649557224663,-0.058739431062002634
2026-03-02,long-short,314306837.6784306,117106915.29897985,-0.002081384336694168,-0.09364168222983721,-0.06069855606693797
2026-03-09,long-short,273279124.13283706,121100691.16082703,-0.13053395162713355,0.034103672286567036,-0.18330928531259294
2026-03-16,long-short,278436494.38995814,113930737.75827678,0.01887217061854374,-0.059206544023999316,-0.16789655880243182
2026-03-23,long-short,264352144.4709081,119910010.18291232,-0.05058370652851464,0.05248164404343254,-0.20998743507333661
2026-03-30,long-short,275757736.5801783,119273375.7717208,0.043145449537011014,-0.005309268260592972,-0.1759019878196887
2026-04-06,long-short,279937889.099051,125528588.67783901,0.015158786008012095,0.05244433525626187,-0.16340966240341925
