date,top5_realized_return,portfolio_return_after_cost,benchmark_return,equity,benchmark_equity,drawdown
2025-02-14,0.015088424500781406,0.002417684900156281,0.0027376428551220957,11053634.203400271,10319599.496966587,0.0
2025-02-17,0.026591085840164543,0.004718217168032909,0.004826961923484109,11105787.65006791,10369411.810804052,0.0
2025-02-18,0.03197293562198045,0.00579458712439609,0.002755604373347531,11170141.104191272,10397985.807338944,0.0
2025-02-19,0.0019304826663256503,-0.00021390346673486998,0.0008870409197493205,11167751.772285167,10407209.246233026,-0.00021390346673488825
2025-02-20,0.010848023027660813,0.0015696046055321624,0.0010117379812511072,11185280.726900388,10417738.615106268,0.0
2025-02-21,-0.02592257242782874,-0.005784514485565748,0.0017031567421975575,11120579.308510514,10435481.656867037,-0.005784514485565606
2025-02-24,-0.04493255342466011,-0.009586510684932022,0.000973646940591706,11013971.756146844,10445642.131655846,-0.01531557186057464
2025-02-25,-0.027749296679037316,-0.006149859335807463,0.0011101593160404782,10946237.379117984,10457238.458580328,-0.021371242583792194
2025-02-26,-0.018461770501033547,-0.004292354100206709,-0.0007081379340614413,10899252.252221892,10449833.29134228,-0.02557186374326781
2025-02-27,-0.053537513525820236,-0.011307502705164047,0.0009842658066502173,10776008.927895628,10460118.704936143,-0.03659021252997874
2025-02-28,0.008416644097376302,0.0010833288194752606,0.0014403072377751037,10787682.888926141,10475184.48961485,-0.035546522942247805
2025-03-03,-0.026607288716709875,-0.005921457743341975,0.0006262547562459263,10723804.080550792,10481744.623724025,-0.04125749345206453
2025-03-04,-0.00727080056170164,-0.002054160112340328,0.001106181483332507,10701775.669955973,10493339.335539807,-0.043226904067020344
2025-03-05,0.0005429050880112474,-0.0004914189823977506,0.0024239761453972164,10696516.614246393,10518774.939774714,-0.04369708052820942
2025-03-06,0.034283986688237865,0.006256797337647574,-0.001776541593892212,10763442.550920513,10500087.898577414,-0.03771368696767374
2025-03-07,-0.005459502488477375,-0.001691900497695475,-0.00228918272008269,10745231.877111694,10476051.278800642,-0.0393417796596186
