model_family,model_version,date,mode,top_k,long_symbols,long_realized_return,short_symbols,short_realized_return,gross_period_return,turnover,transaction_cost,period_return_after_cost,benchmark_equal_weight_return,equity,benchmark_equity,drawdown
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-03-27,long-only,5,"VIC,NVDA,SHB,VHM,BCM",-0.06167519418338878,,,-0.06167519418338878,0.8,0.0012000000000000001,-0.06287519418338879,-0.07450830475227209,10143190.450401643,9382295.284395644,-0.06665241009592193
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-04-03,long-only,5,"VIC,VGI,SHB,VCB,VHM",0.0754405809187699,,,0.07544058091876991,0.8,0.0012000000000000001,0.07424058091876991,-0.030455201677287002,10896226.80180918,9096555.589313516,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-04-10,long-only,5,"2317.TW,AAPL,AGG,BMP,AMD",0.0387345093799585,,,0.03873450937995851,1.9999999999999998,0.0029999999999999996,0.03573450937995851,0.03546074803877985,11285598.120664587,9419126.255086917,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-04-17,long-only,5,"2317.TW,AAPL,GMD,FPT,TSM",0.05085424664256362,,,0.05085424664256362,1.2,0.0018,0.049054246642563616,0.01918639496812258,11839204.63438452,9599845.33167163,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-04-24,long-only,5,"GMD,PNJ,2317.TW,PHR,GEX",0.066941805182132,,,0.066941805182132,1.2,0.0018,0.065141805182132,0.026159147018479822,12610431.796188992,9850969.097057495,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-05-01,long-only,5,"MSFT,INTC,QCOM,TSM,AMD",0.044187999866909376,,,0.04418799986690938,1.9999999999999998,0.0029999999999999996,0.04118799986690938,0.019352432335479466,13129830.259332092,10041609.3099472,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-05-08,long-only,5,"GMD,VSC,GOOGL,MSFT,BWE",0.024348512772386567,,,0.024348512772386564,1.5999999999999999,0.0024,0.021948512772386564,0.033496618282993586,13418010.506478311,10377969.263949458,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-05-15,long-only,5,"BWE,HAH,PHR,GEX,VPI",0.06044485890707887,,,0.060444858907078874,1.5999999999999999,0.0024,0.058044858907078875,-0.006232013905721202,14196857.033140546,10313293.615183378,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-05-22,long-only,5,"GVR,PNJ,HSG,MSFT,KBC",0.03840126802191892,,,0.03840126802191893,1.9999999999999998,0.0029999999999999996,0.035401268021918925,0.02765456140994332,14699443.774039619,10598503.226803241,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-05-29,long-only,5,"PET,VPI,HAH,GEX,PAN",-0.005065010762303324,,,-0.005065010762303325,1.9999999999999998,0.0029999999999999996,-0.008065010762303324,0.008827815615388656,14580892.601802116,10692064.859088562,-0.00806501076230337
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-06-05,long-only,5,"VPI,NLG,AGG,PAN,GMD",-0.017220230958340355,,,-0.017220230958340358,1.2,0.0018,-0.019020230958340358,-0.004890547721276404,14303560.656937083,10639774.805656208,-0.026931843353263263
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-06-12,long-only,5,"VIC,005930.KS,DIG,AGG,CTS",0.00029935854543443606,,,0.00029935854543443547,1.5999999999999999,0.0024,-0.0021006414545655643,0.01188705475190621,14273514.004473228,10766250.391318994,-0.028975910661233062
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-06-19,long-only,5,"PLX,TDM,DPM,GAS,KSB",-0.029346787132647534,,,-0.029346787132647538,1.9999999999999998,0.0029999999999999996,-0.03234678713264754,0.006659589786359843,13811811.68533567,10837949.202462416,-0.06038542017974702
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-06-26,long-only,5,"PLX,VIC,OCB,DPM,TCB",0.011295023054210462,,,0.011295023054210464,1.2,0.0018,0.009495023054210464,0.020700423924127083,13942955.155708347,11062299.345421543,-0.05146375808228143
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-07-03,long-only,5,"VIC,NT2,PHR,MSN,GAS",0.040518955784995335,,,0.04051895578499534,1.5999999999999999,0.0024,0.03811895578499534,0.03261973369578821,14474446.046800964,11423148.604132287,-0.015306547016154415
