rows,dates,symbols,IC,RankIC,ICIR,RankICIR,Direction_Acc,Balanced_Acc,Majority,F1_up,F1_down,Top5_Return,Bottom5_Return,LongShort5,Top5_Direction_Acc,candidate,month
2167.0,23.0,95.0,0.11812673240572584,0.06185636042932225,1.162705428429236,0.7296173491270752,0.4933087217351177,0.5072840642089285,0.564836179049377,0.5137289636846767,0.47109826589595377,0.023919856200648636,-0.010959812244071486,0.034879668444720124,0.5478260869565218,baseline_current,2025-12
1902.0,21.0,95.0,0.08787379034251472,0.10974231864346803,0.5036571896419924,0.6771386245924581,0.5436382754994742,0.5435426802299868,0.5005257623554153,0.5818882466281311,0.4976851851851852,0.022550261663936637,-0.008289636856183804,0.03083989852012044,0.5142857142857142,baseline_current,2026-01
1456.0,19.0,95.0,0.2639970296733044,0.20756623672183147,1.0243465882071403,0.8842273935682213,0.5054945054945055,0.5066904431675583,0.5048076923076923,0.558282208588957,0.43837753510140404,0.027120754120443485,-0.016609896035560463,0.043730650156003956,0.6,baseline_current,2026-02
2089.0,22.0,95.0,-0.00876613599403316,0.02145821057846054,-0.06805371101244562,0.18604891663758183,0.5098133078027764,0.5166473253757736,0.5974150311153662,0.47540983606557374,0.5399820305480684,-0.019058725101879063,-0.01738930074831985,-0.0016694243535592137,0.3909090909090909,baseline_current,2026-03
463.0,5.0,95.0,0.11277845456570587,0.04697946830338674,1.8204727179504425,0.5145828266371962,0.5205183585313174,0.4752651978784169,0.8358531317494601,0.6542056074766355,0.2183098591549296,0.049088189311309545,0.04718569130143557,0.00190249800987397,0.76,baseline_current,2026-04
1637.0,22.0,95.0,0.1445591721519039,0.11486385786481024,0.7009763209211611,0.6938790552611634,0.5290164935858277,0.5116052431668437,0.5583384239462431,0.6104092976250631,0.4046332046332046,0.01216091196903797,-0.005229284209122957,0.017390196178160927,0.5454545454545454,selected_upgrade,2025-01
1888.0,20.0,95.0,0.02501712910654096,0.08407468535702957,0.11740025149307447,0.5226622340715258,0.5683262711864406,0.5335459559597491,0.600635593220339,0.6628051303268514,0.4002943340691685,0.014496593807776048,0.013180888776104415,0.0013157050316716366,0.73,selected_upgrade,2025-02
1994.0,21.0,95.0,0.12968732823923018,0.1365050023797848,0.894339874292463,1.0186603913162309,0.48495486459378134,0.5424609651775928,0.6634904714142427,0.48417880462079355,0.48572859288933395,-0.0029076104590958513,-0.0163235349239768,0.01341592446488095,0.4476190476190475,selected_upgrade,2025-03
1910.0,22.0,95.0,0.19508163368999032,0.20579597419840648,1.080283474046197,1.133445799741058,0.5706806282722513,0.5523253518346165,0.5837696335078534,0.6428571428571427,0.46194225721784776,0.031382332904883396,0.001424610039679282,0.02995772286520412,0.6909090909090909,selected_upgrade,2025-04
1907.0,22.0,95.0,0.06707026575487413,0.028310645893015338,0.3080298116701175,0.17058867067218644,0.5584687991609858,0.5144503579861375,0.637650760356581,0.660757453666398,0.3678678678678679,0.020879448200285467,0.013933523987747672,0.006945924212537799,0.5999999999999999,selected_upgrade,2025-05
